round,result
1,10
2,15
3,21
4,6
5,11
6,9
7,21
8,14
9,22
10,8
11,3
12,8
13,15
14,11
15,10
16,12
17,9
18,11
19,12
20,10
21,11
22,16
23,15
24,20
25,5
26,16
27,10
28,13
29,7
30,22
31,16
32,16
33,13
34,10
35,9
36,17
37,16
38,20
39,10
40,14
41,6
42,16
43,15
44,17
45,12
46,15
47,16
48,12
49,13
50,19
51,16
52,6
53,18
54,3
55,17
56,10
57,12
58,12
59,8
60,13
61,11
62,10
63,14
64,14
65,8
66,21
67,9
68,17
69,4
70,14
71,20
72,11
73,5
74,7
75,23
76,20
77,9
78,11
79,13
80,12
81,20
82,17
83,7
84,12
85,9
86,8
87,13
88,13
89,15
90,13
91,7
92,20
93,10
94,6
95,8
96,11
97,17
98,9
99,21
100,15
101,19
102,8
103,13
104,22
105,15
106,15
107,16
108,12
109,10
110,25
111,22
112,13
113,15
114,13
115,14
116,10
117,13
118,9
119,12
120,19
121,11
122,15
123,22
124,4
125,14
126,20
127,17
128,18
129,10
130,17
131,11
132,9
133,17
134,1
135,12
136,13
137,9
138,10
139,15
140,11
141,17
142,15
143,16
144,1
145,8
146,17
147,17
148,17
149,10
150,21
151,9
152,19
153,4
154,18
155,15
156,6
157,10
158,17
159,12
160,9
161,15
162,13
163,12
164,17
165,17
166,14
167,13
168,11
169,19
170,11
171,9
172,15
173,18
174,16
175,17
176,14
177,12
178,14
179,8
180,16
181,17
182,10
183,9
184,21
185,17
186,17
187,5
188,17
189,14
190,14
191,5
192,9
193,12
194,23
195,7
196,15
197,10
198,12
199,9
200,10
201,11
202,2
203,23
204,17
205,17
206,16
207,11
208,14
209,13
210,9
211,5
212,7
213,6
214,19
215,16
216,6
217,16
218,11
219,16
220,20
221,10
222,9
223,9
224,13
225,7
226,14
227,19
228,18
229,10
230,18
231,14
232,19
233,15
234,14
235,17
236,22
237,12
238,16
239,16
240,9
241,7
242,8
243,17
244,9
245,9
246,12
247,8
248,17
249,16
250,16
251,13
252,16
253,9
254,4
255,6
256,7
257,21
258,24
259,21
260,14
261,6
262,8
263,9
264,14
265,6
266,16
267,9
268,17
269,19
270,20
271,15
272,7
273,17
274,20
275,11
276,17
277,4
278,19
279,17
280,16
281,2
282,12
283,13
284,12
285,8
286,15
287,10
288,13
289,16
290,9
291,14
292,13
293,6
294,17
295,8
296,3
297,10
298,11
299,12
300,24
301,11
302,25
303,22
304,13
305,8
306,10
307,4
308,11
309,17
310,23
311,20
312,6
313,6
314,12
315,18
316,6
317,4
318,13
319,16
320,13
321,22
322,12
323,24
324,15
325,17
326,14
327,17
328,11
329,12
330,15
331,18
332,19
333,8
334,7
335,17
336,23
337,9
338,8
339,18
340,14
341,13
342,13
343,20
344,10
345,13
346,13
347,8
348,11
349,20
350,15
351,7
352,8
353,20
354,15
355,12
356,26
357,22
358,3
359,12
360,4
361,8
362,20
363,24
364,16
365,22
366,9
367,5
368,9
369,11
370,15
371,12
372,17
373,9
374,9
375,9
376,11
377,23
378,17
379,13
380,7
381,9
382,13
383,10
384,3
385,11
386,21
387,16
388,22
389,12
390,13
391,13
392,11
393,11
394,8
395,11
396,11
397,18
398,4
399,16
400,10
401,11
402,17
403,21
404,26
405,15
406,10
407,15
408,9
409,13
410,16
411,8
412,10
413,16
414,14
415,15
416,16
417,7
418,18
419,4
420,26
421,17
422,17
423,15
424,20
425,15
426,11
427,20
428,14
429,21
430,19
431,15
432,9
433,14
434,16
435,21
436,17
437,26
438,23
439,7
440,7
441,9
442,15
443,16
444,4
445,7
446,15
447,10
448,7
449,13
450,19
451,10
452,15
453,9
454,8
455,13
456,23
457,7
458,9
459,10
460,15
461,12
462,4
463,1
464,9
465,9
466,17
467,19
468,18
469,8
470,22
471,10
472,16
473,17
474,14
475,13
476,12
477,10
478,17
479,19
480,14
481,6
482,13
483,8
484,10
485,15
486,17
487,9
488,12
489,14
490,14
491,14
492,12
493,12
494,16
495,10
496,3
497,14
498,23
499,6
500,13
501,13
502,16
503,20
504,9
505,25
506,18
507,24
508,7
509,4
510,12
511,16
512,15
513,5
514,10
515,22
516,10
517,16
518,11
519,12
520,11
521,10
522,12
523,21
524,11
525,19
526,3
527,20
528,22
529,15
530,21
531,14
532,12
533,18
534,14
535,20
536,9
537,13
538,18
539,14
540,9
541,22
542,16
543,10
544,21
545,18
546,17
547,3
548,24
549,12
550,18
551,20
552,5
553,8
554,12
555,16
556,18
557,18
558,12
559,12
560,13
561,8
562,10
563,9
564,12
565,6
566,8
567,20
568,13
569,4
570,9
571,25
572,16
573,22
574,13
575,13
576,19
577,6
578,18
579,22
580,18
581,17
582,20
583,16
584,13
585,11
586,7
587,15
588,18
589,16
590,14
591,12
592,9
593,15
594,12
595,17
596,12
597,8
598,19
599,18
600,12
601,13
602,9
603,4
604,15
605,11
606,11
607,18
608,13
609,20
610,15
611,12
612,15
613,19
614,10
615,23
616,11
617,21
618,5
619,8
620,17
621,19
622,10
623,8
624,17
625,11
626,18
627,18
628,18
629,9
630,3
631,11
632,11
633,13
634,5
635,25
636,10
637,6
638,22
639,9
